name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Colwill,460028,8,355,271,-84,4,4,0,65,65
T.Silva,51090,8,604,440,-164,12,5,-7,98,91
Mudryk,465920,8,291,342,51,5,7,2,94,96
Broja,440323,54,72,91,19,0,1,1,35,36
Dominguez,250199,17,276,304,28,6,6,0,67,67
Hee Chan,184754,39,334,400,66,10,11,1,125,126
Cunha,430871,39,520,642,122,15,18,3,135,138
Almirón,179018,4,277,323,46,4,3,-1,77,76
Adebayo,174310,102,288,332,44,9,8,-1,94,93
Berge,207189,90,430,455,25,3,1,-2,74,72
Bruun Larsen,179458,90,237,272,35,7,9,2,82,84
Mykolenko,224967,11,452,323,-129,9,8,-1,101,100
Calvert-Lewin,177815,11,259,347,88,9,11,2,101,103
Willian,47431,54,390,452,62,6,7,1,94,95
De Cordova-Reid,96994,54,290,331,41,7,7,0,92,92
Vini Souza,424001,49,357,383,26,4,4,0,73,73
Palmer,244851,8,844,951,107,32,38,6,244,250
Odobert,550839,90,303,350,47,3,5,2,82,84
McTominay,195851,1,307,366,59,5,8,3,98,101
Maguire,95658,1,351,251,-100,6,3,-3,73,70
Dunk,83299,36,567,391,-176,11,6,-5,89,84
Adingra,535818,36,330,393,63,8,11,3,97,100
Murillo,575476,17,451,246,-205,1,2,1,58,59
Harrison,221399,11,292,340,48,5,5,0,92,92
Pickford,111234,11,734,536,-198,22,15,-7,153,146
Gabriel,226597,3,676,626,-50,8,6,-2,149,147
Martinelli,444145,3,404,468,64,6,7,1,118,119
Kudus,460842,21,476,585,109,13,17,4,137,141
McBurnie,169432,49,225,282,57,9,11,2,66,68
Gallagher,232787,8,618,716,98,10,10,0,129,129
Ansu Fati,465607,36,84,119,35,1,0,-1,33,32
Billing,168991,91,228,256,28,3,2,-1,60,59
J.Murphy,114243,4,312,347,35,4,6,2,82,84
Ajer,191866,94,323,209,-114,3,2,-1,68,67
Collins,432830,94,489,312,-177,8,6,-2,84,82
O'Shea,216616,90,478,219,-259,2,1,-1,69,68
Mario Jr.,151086,39,490,550,60,13,12,-1,95,94
J.Ayew,80146,31,325,457,132,3,6,3,109,112
Johnson,242898,6,397,468,71,9,11,2,131,133
Branthwaite,480455,11,621,472,-149,10,9,-1,124,123
Norwood,79934,49,232,251,19,3,2,-1,42,41
Bellegarde,231057,39,150,184,34,1,1,0,45,45
Verbruggen,489639,36,417,307,-110,7,4,-3,68,65
